"REF_DATE","GEO","DGUID","Persons in low income","Low income lines","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1987","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","12.3","","","","1"
"1988","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","14.2","","","","1"
"1989","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","12.4","","","","1"
"1990","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","12.1","","","","1"
"1991","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","12.8","","","","1"
"1992","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","11.2","","","","1"
"1993","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","9.4","D","","","1"
"1994","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","9.0","D","","","1"
"1995","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","9.8","D","","","1"
"1996","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","10.5","D","","","1"
"1997","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","10.6","D","","","1"
"1998","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","12.2","D","","","1"
"1999","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","15.3","D","","","1"
"2000","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","14.6","D","","","1"
"2001","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","14.8","D","","","1"
"2002","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","13.7","D","","","1"
"2003","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","11.4","E","","","1"
"2004","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","11.3","D","","","1"
"2005","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","9.3","D","","","1"
"2006","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","9.1","D","","","1"
"2007","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","10.7","D","","","1"
"2008","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","11.0","D","","","1"
"2009","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","12.2","D","","","1"
"2010","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","14.1","D","","","1"
"2011","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","12.5","D","","","1"
"2012","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","10.7","D","","","1"
"2013","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","15.1","D","","","1"
"2014","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","10.5","D","","","1"
"2015","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","14.4","D","","","1"
"2016","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","11.7","D","","","1"
"2017","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","14.3","D","","","1"
"2018","Prince Edward Island","2016A000211","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517098","4.5.1.2","13.8","D","","","1"
"2015","Prince Edward Island","2016A000211","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132513","4.5.6.2","14.2","D","","","1"
"2016","Prince Edward Island","2016A000211","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132513","4.5.6.2","9.8","D","","","1"
"2017","Prince Edward Island","2016A000211","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132513","4.5.6.2","13.3","D","","","1"
"2018","Prince Edward Island","2016A000211","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132513","4.5.6.2","12.3","D","","","1"
"1976","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","25.0","","","","1"
"1977","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","21.2","","","","1"
"1978","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","25.1","","","","1"
"1979","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","23.2","","","","1"
"1980","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","20.7","","","","1"
"1981","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","21.8","","","","1"
"1982","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","19.2","","","","1"
"1983","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","15.7","","","","1"
"1984","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","17.1","","","","1"
"1985","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","17.5","","","","1"
"1986","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","15.8","","","","1"
"1987","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","15.6","","","","1"
"1988","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","16.6","","","","1"
"1989","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","17.6","","","","1"
"1990","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","15.3","","","","1"
"1991","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","15.4","","","","1"
"1992","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","12.3","","","","1"
"1993","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","11.2","D","","","1"
"1994","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","9.6","D","","","1"
"1995","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","11.8","D","","","1"
"1996","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","13.1","D","","","1"
"1997","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","12.7","D","","","1"
"1998","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","12.4","D","","","1"
"1999","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","17.3","D","","","1"
"2000","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","16.7","D","","","1"
"2001","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","17.7","D","","","1"
"2002","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","15.9","D","","","1"
"2003","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","13.9","D","","","1"
"2004","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","14.5","D","","","1"
"2005","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","13.1","D","","","1"
"2006","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","14.8","D","","","1"
"2007","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","13.4","D","","","1"
"2008","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","13.6","D","","","1"
"2009","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","13.3","D","","","1"
"2010","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","14.4","D","","","1"
"2011","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","13.9","D","","","1"
"2012","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","15.2","D","","","1"
"2013","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","16.3","D","","","1"
"2014","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","14.5","D","","","1"
"2015","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","17.2","D","","","1"
"2016","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","16.9","D","","","1"
"2017","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","14.5","D","","","1"
"2018","Prince Edward Island","2016A000211","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517146","4.9.1.2","15.5","D","","","1"
"2015","Prince Edward Island","2016A000211","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132525","4.9.6.2","15.4","D","","","1"
"2016","Prince Edward Island","2016A000211","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132525","4.9.6.2","13.6","D","","","1"
"2017","Prince Edward Island","2016A000211","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132525","4.9.6.2","13.3","D","","","1"
"2018","Prince Edward Island","2016A000211","Females","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132525","4.9.6.2","11.5","D","","","1"
"1976","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","18.5","","","","1"
"1977","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","17.8","","","","1"
"1978","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","16.9","","","","1"
"1979","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","16.8","","","","1"
"1980","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","15.8","","","","1"
"1981","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","16.2","","","","1"
"1982","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","16.7","","","","1"
"1983","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","16.0","","","","1"
"1984","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","15.0","","","","1"
"1985","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","15.0","","","","1"
"1986","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","15.8","","","","1"
"1987","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","13.8","","","","1"
"1988","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","14.5","","","","1"
"1989","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","14.7","","","","1"
"1990","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","13.6","","","","1"
"1991","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","13.8","","","","1"
"1992","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","13.6","","","","1"
"1993","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","14.9","C","","","1"
"1994","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","15.2","C","","","1"
"1995","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","14.8","C","","","1"
"1996","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","15.7","C","","","1"
"1997","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","15.9","B","","","1"
"1998","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","15.9","C","","","1"
"1999","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","15.7","C","","","1"
"2000","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","15.9","C","","","1"
"2001","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","16.8","C","","","1"
"2002","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","16.7","C","","","1"
"2003","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","17.4","C","","","1"
"2004","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","15.7","C","","","1"
"2005","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","14.8","C","","","1"
"2006","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","14.7","C","","","1"
"2007","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","14.8","C","","","1"
"2008","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","16.8","C","","","1"
"2009","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","16.9","C","","","1"
"2010","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","14.9","C","","","1"
"2011","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","13.3","C","","","1"
"2012","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","15.4","C","","","1"
"2013","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","14.8","C","","","1"
"2014","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","15.8","C","","","1"
"2015","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","17.5","C","","","1"
"2016","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","16.1","C","","","1"
"2017","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","17.5","C","","","1"
"2018","Nova Scotia","2016A000212","All persons","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517458","5.1.1.2","15.9","C","","","1"
"2015","Nova Scotia","2016A000212","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132603","5.1.6.2","17.0","C","","","1"
"2016","Nova Scotia","2016A000212","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132603","5.1.6.2","16.2","C","","","1"
"2017","Nova Scotia","2016A000212","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132603","5.1.6.2","15.0","C","","","1"
"2018","Nova Scotia","2016A000212","All persons","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132603","5.1.6.2","13.3","C","","","1"
"1976","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","17.1","","","","1"
"1977","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","16.5","","","","1"
"1978","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","14.7","","","","1"
"1979","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","14.8","","","","1"
"1980","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","14.7","","","","1"
"1981","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","14.9","","","","1"
"1982","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","15.4","","","","1"
"1983","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","13.9","","","","1"
"1984","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","13.6","","","","1"
"1985","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","14.0","","","","1"
"1986","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","13.9","","","","1"
"1987","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","11.8","","","","1"
"1988","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","12.1","","","","1"
"1989","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","12.4","","","","1"
"1990","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","11.5","","","","1"
"1991","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","11.4","","","","1"
"1992","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","11.9","","","","1"
"1993","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","13.7","C","","","1"
"1994","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","13.8","C","","","1"
"1995","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","13.4","C","","","1"
"1996","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","13.6","C","","","1"
"1997","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","13.5","C","","","1"
"1998","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","13.0","C","","","1"
"1999","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","14.4","C","","","1"
"2000","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","14.2","C","","","1"
"2001","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","15.4","C","","","1"
"2002","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","15.4","C","","","1"
"2003","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","15.6","C","","","1"
"2004","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","14.5","C","","","1"
"2005","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","13.2","D","","","1"
"2006","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","12.8","C","","","1"
"2007","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","13.4","C","","","1"
"2008","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","15.1","C","","","1"
"2009","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","15.3","C","","","1"
"2010","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","13.7","D","","","1"
"2011","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","11.7","D","","","1"
"2012","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","14.2","D","","","1"
"2013","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","14.9","D","","","1"
"2014","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","14.0","D","","","1"
"2015","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","16.3","C","","","1"
"2016","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","15.9","C","","","1"
"2017","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","16.1","C","","","1"
"2018","Nova Scotia","2016A000212","Males","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517506","5.5.1.2","15.1","C","","","1"
"2015","Nova Scotia","2016A000212","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132615","5.5.6.2","16.5","C","","","1"
"2016","Nova Scotia","2016A000212","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132615","5.5.6.2","17.0","C","","","1"
"2017","Nova Scotia","2016A000212","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132615","5.5.6.2","13.5","C","","","1"
"2018","Nova Scotia","2016A000212","Males","Market basket measure, 2018 base","Percentage of persons in low income","Percent","239","units","0","v1206132615","5.5.6.2","13.0","C","","","1"
"1976","Nova Scotia","2016A000212","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517554","5.9.1.2","19.9","","","","1"
"1977","Nova Scotia","2016A000212","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517554","5.9.1.2","19.1","","","","1"
"1978","Nova Scotia","2016A000212","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517554","5.9.1.2","19.0","","","","1"
"1979","Nova Scotia","2016A000212","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517554","5.9.1.2","18.7","","","","1"
"1980","Nova Scotia","2016A000212","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517554","5.9.1.2","16.9","","","","1"
"1981","Nova Scotia","2016A000212","Females","Low income measure after tax","Percentage of persons in low income","Percent","239","units","0","v96517554","5.9.1.2","17.5","","","","1"
